id,fave,rating
seed-0001,,3.5
seed-0002,,3.5
seed-0003,,3.5
seed-0004,,3.0
seed-0005,,4.0
seed-0006,,3.0
seed-0007,yes,5.0
seed-0008,,5.0
seed-0009,,4.5
seed-0010,,4.0
seed-0011,,4.5
seed-0012,,4.0
seed-0013,,5.0
seed-0014,,4.0
seed-0015,,4.0
seed-0016,,3.0
seed-0017,yes,5.0
seed-0018,yes,5.0
seed-0019,,4.0
seed-0020,,0
seed-0021,,2.0
seed-0022,,3.5
seed-0023,,3.0
seed-0024,,0
seed-0025,yes,0
seed-0026,yes,0
seed-0027,,0
seed-0028,,0
seed-0029,yes,0
seed-0030,,0
seed-0031,yes,0
seed-0032,yes,0
seed-0033,yes,0
seed-0034,yes,0
seed-0035,,0
seed-0036,,0
seed-0037,,3.0
seed-0038,,3.0
seed-0039,,2.5
seed-0040,,3.5
seed-0041,yes,0
seed-0042,,0
seed-0043,,0
seed-0044,,0
seed-0045,,0
seed-0046,,4.0
seed-0047,,0
seed-0048,,0
seed-0049,,0
seed-0050,,0
seed-0051,,0
seed-0052,,0
seed-0053,,0
seed-0054,,0
seed-0055,yes,0
seed-0056,,0
seed-0057,,0
seed-0058,,0
seed-0059,,0
seed-0060,,0
seed-0061,,0
seed-0062,,0
seed-0063,,0
seed-0064,,0
seed-0065,,0
seed-0066,,0
seed-0067,,0
seed-0068,,0
seed-0069,,0
seed-0070,yes,0
seed-0071,yes,0
seed-0072,,0
seed-0073,,0
seed-0074,,0
seed-0075,yes,0
seed-0076,,0
seed-0077,,0
seed-0078,,0
seed-0079,,0
seed-0080,yes,0
seed-0081,,0
seed-0082,yes,0
seed-0083,yes,0
seed-0084,yes,0
seed-0085,,0
seed-0086,,0
seed-0087,,0
seed-0088,,0
seed-0089,,0
seed-0090,,0
seed-0091,,0
seed-0092,,0
seed-0093,,0
seed-0094,,0
seed-0095,,0
seed-0096,,0
seed-0097,,0
seed-0098,,0
seed-0099,,0
seed-0100,,0
seed-0101,,0
seed-0102,,0
seed-0103,,0
seed-0104,,0
seed-0105,,0
seed-0106,,0
seed-0107,yes,0
seed-0108,yes,0
seed-0109,,0
seed-0110,,0
seed-0111,,0
seed-0112,,0
seed-0113,,0
seed-0114,,0
seed-0115,,0
seed-0116,,0
seed-0117,,0
seed-0118,,0
seed-0119,,0
seed-0120,,0
seed-0121,,0
seed-0122,yes,0
seed-0123,,0
seed-0124,,0
seed-0125,,0
seed-0126,,0
seed-0127,,0
seed-0128,,0
seed-0129,,0
seed-0130,,0
seed-0131,,0
seed-0132,,0
seed-0133,,0
seed-0134,,0
seed-0135,,0
seed-0136,,0
seed-0137,,0
seed-0138,,0
seed-0139,,0
seed-0140,,0
seed-0141,,0
seed-0142,,0
seed-0143,,0
seed-0144,,0
seed-0145,,0
seed-0146,yes,0
seed-0147,,0
seed-0148,,0
seed-0149,,0
seed-0150,,0
seed-0151,,0
seed-0152,,0
seed-0153,,0
seed-0154,,0
seed-0155,,0
seed-0156,,0
seed-0157,,0
seed-0158,,0
seed-0159,,0
seed-0160,,0
seed-0161,,0
seed-0162,,0
seed-0163,,0
seed-0164,,0
seed-0165,,0
seed-0166,yes,5.0
seed-0167,,3.5
seed-0168,,3.5
seed-0169,,3.5
seed-0170,,4.0
seed-0171,,3.5
seed-0172,,3.0
seed-0173,,3.0
seed-0174,,3.5
seed-0175,,3.5
seed-0176,,4.5
seed-0177,,3.5
seed-0178,,3.5
seed-0179,,3.5
seed-0180,,3.5
seed-0181,,3.5
seed-0182,,3.0
seed-0183,,0
seed-0184,,3.5
seed-0185,yes,5.0
seed-0186,,2.5
seed-0187,,0
seed-0188,,3.0
seed-0189,,3.5
seed-0190,,3.5
seed-0191,,5.0
seed-0192,,3.0
seed-0193,,3.0
seed-0194,,5.0
seed-0195,,3.0
seed-0196,,2.5
seed-0197,,3.0
seed-0198,,3.0
seed-0199,,3.5
seed-0200,,3.5
seed-0201,,3.5
seed-0202,,2.5
seed-0203,,2.5
seed-0204,,2.5
seed-0205,,2.5
seed-0206,,2.5
seed-0207,,3.0
seed-0208,,2.0
seed-0209,,3.0
seed-0210,,3.0
seed-0211,,3.5
seed-0212,,3.5
seed-0213,,3.5
seed-0214,,4.0
seed-0215,,4.0
seed-0216,,4.0
seed-0217,,2.0
seed-0218,,2.0
seed-0219,,2.5
seed-0220,,2.5
seed-0221,,2.0
seed-0222,,3.0
seed-0223,,2.5
seed-0224,,2.5
seed-0225,,2.5
seed-0226,,0
seed-0227,,0
seed-0228,,2.5
seed-0229,,0
seed-0230,,0
seed-0231,,0
seed-0232,,0
seed-0233,,0
seed-0234,,0
seed-0235,,0
seed-0236,,0
seed-0237,,0
seed-0238,,0
seed-0239,,0
seed-0240,,0
seed-0241,,0
seed-0242,,0
seed-0243,,0
seed-0244,,0
seed-0245,,0
seed-0246,,0
seed-0247,,2.5
seed-0248,,2.5
seed-0249,,0
seed-0250,,0
seed-0251,,0
seed-0252,,0
seed-0253,,0
seed-0254,,0
seed-0255,,0
seed-0256,,0
seed-0257,,0
seed-0258,,3.0
seed-0259,,3.0
seed-0260,,3.0
seed-0261,,3.0
seed-0262,,3.0
seed-0263,,3.0
seed-0264,,2.0
seed-0265,,3.0
seed-0266,,2.5
seed-0267,,2.5
seed-0268,,2.5
seed-0269,,2.5
seed-0270,,3.5
seed-0271,,3.0
seed-0272,,3.5
seed-0273,,3.0
seed-0274,,2.5
seed-0275,,2.5
seed-0276,,3.0
seed-0277,,3.0
seed-0278,,3.0
seed-0279,,0
seed-0280,,2.5
seed-0281,,3.0
seed-0282,,4.0
seed-0283,,3.0
seed-0284,,3.5
seed-0285,,3.5
seed-0286,,3.5
seed-0287,,3.5
seed-0288,,3.5
seed-0289,,3.5
seed-0290,,3.5
